#lat,long,speed,altitude,time
23.584356573040143,87.28343897574842,0.0,32.31893340145099,06:06:13,BusStop_10+
23.584356573040143,87.28343897574842,0.0,32.28214167960675,06:06:14,BusStop_10+
23.584356573040143,87.28343897574842,0.0,32.2405184925143,06:06:16,BusStop_10+
23.584356573040143,87.28343897574842,0.0,32.22625757076788,06:06:17,BusStop_10+
23.584356573040143,87.28343897574842,0.0,32.212233406092075,06:06:18
23.584356573040143,87.28343897574842,0.0,32.085247310191576,06:06:19
23.584356573040143,87.28343897574842,0.0,31.95894752407683,06:06:20
23.58450469479887,87.28340639777193,3.030078411102295,31.848231645170586,06:06:21
23.58454573561669,87.28340260582561,4.057326793670654,31.706745081572834,06:06:22
23.58838505220354,87.28196270037978,5.823264122009277,14.31731985439647,06:07:26
23.588445058364627,87.28196491571757,3.1435859203338623,14.535278172639318,06:07:30,BusStop_11+
23.588445058364627,87.28196491571757,0.0,14.552704470772968,06:07:31,BusStop_11+
23.588445058364627,87.28196491571757,0.0,14.574696974043409,06:07:32,BusStop_11+
23.588445058364627,87.28196491571757,0.0,14.605731669849359,06:07:33,BusStop_11+
23.5885012327376,87.28193687536839,1.1880985498428345,15.053325832173142,06:07:34,BusStop_11+
23.5885012327376,87.28193687536839,0.0,15.100475040730794,06:07:35,BusStop_11+
23.5885012327376,87.28193687536839,0.0,15.640449037539074,06:07:36,BusStop_11+
23.5885012327376,87.28193687536839,0.0,15.696757810381385,06:07:37,BusStop_11+
23.58853491654325,87.28190626328619,2.029848098754883,16.31504151603128,06:07:38
23.58853491654325,87.28190626328619,0.0,16.887244503641455,06:07:39
23.588602956886383,87.28192003165557,3.678170919418335,17.433660672521217,06:07:40
23.588649463020545,87.28195724804718,5.855438709259033,23.439697663898695,06:07:41
23.588687731849234,87.28198013078165,3.871568441390991,23.92193746880309,06:07:42
23.590551584944553,87.28455253831305,5.866381645202637,48.310610389295164,06:08:24
23.590551584944553,87.28455253831305,0.0,48.2933111354486,06:08:25,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.26900588618768,06:08:26,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.24118813528546,06:08:27,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.205889486504006,06:08:28,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.1655898944688,06:08:29,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.137045428723816,06:08:30,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.11373619536253,06:08:31,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.084824173702835,06:08:32,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.05177930996145,06:08:33,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.03373439233562,06:08:34,BusStop_12+
23.590551584944553,87.28455253831305,0.0,48.01487015223413,06:08:35,BusStop_12+
23.590551584944553,87.28455253831305,0.0,47.988909019524094,06:08:36,BusStop_12+
23.590551584944553,87.28455253831305,0.0,47.96016889272312,06:08:37,BusStop_12+
23.590551584944553,87.28455253831305,0.0,47.92807515101315,06:08:38
23.590551584944553,87.28455253831305,0.0,47.89427750995694,06:08:39
23.590551584944553,87.28455253831305,0.0,47.47016458055525,06:08:40
23.58889489878313,87.28629882066939,10.721107482910156,4.588964785257282,06:09:11
23.58882154187337,87.28636591683598,10.928946495056152,4.9349470044464505,06:09:12
23.58644473011221,87.28744362769369,6.373653888702393,18.463223563201158,06:09:48
23.586382547341938,87.28741470909792,6.053364276885986,18.137931280467345,06:09:49,BusStop_13+
23.586336419377552,87.28738310034305,6.053364276885986,18.137931280467345,06:09:50,BusStop_13+
23.586290291413167,87.2873514915993,6.053364276885986,18.137931280467345,06:09:51,BusStop_13+
23.58623140760571,87.28732169699823,5.767527103424072,17.248459859894783,06:09:52,BusStop_13+
23.586185843078276,87.28729456407017,5.578557968139648,16.318689219953235,06:09:53,BusStop_13+
23.586157511386567,87.28735205597889,5.578557968139648,14.922368587457814,06:09:54,BusStop_13+
23.586115249594535,87.2873224998395,0.0,14.922368587457814,06:09:55,BusStop_13+
23.586072987802503,87.28729294370964,5.578557968139648,14.922368587457814,06:09:56,BusStop_13+
23.58601377446341,87.28732626542205,5.741247177124023,11.995028272217372,06:09:59,BusStop_13+
23.58596951370568,87.28729719343605,0.0,11.995028272217372,06:10:00
23.585925252947952,87.28726812145985,0.0,11.995028272217372,06:10:01
23.586020194150702,87.28740803881064,5.036813735961914,14.125455597947383,06:10:06
23.58590876566381,87.28737313714626,6.4710516929626465,16.50541850263066,06:10:07
23.58590116524922,87.28743968442069,6.600563049316406,19.946983052778478,06:10:08
23.5798382573063,87.29131516800054,6.553440093994141,24.027280619803513,06:12:21
23.579853639781323,87.29137015431357,5.905393123626709,23.73986624379074,06:12:22,Turn_6+
23.579856363385737,87.29142246528694,5.336872577667236,22.393938952434993,06:12:23,Turn_6+
23.579851182878883,87.29147106744205,5.038825035095215,21.263068209119048,06:12:24,Turn_6+
23.579834740021248,87.29152120019266,5.5937371253967285,20.467257491978387,06:12:25,Turn_6+
23.57980974893271,87.29155717997247,4.55895471572876,19.1969968934686,06:12:26,Turn_6+
23.579779612473196,87.29158747848449,4.543581962585449,17.80616671692955,06:12:27,Turn_6+
23.579715005308564,87.29161758722196,7.320015907287598,16.478167031770003,06:12:28,Turn_6+
23.579569442625406,87.29161795975122,6.724043369293213,13.924888932282466,06:12:30,Turn_6+
23.57944288705226,87.29159888533789,5.081298351287842,13.429624555044128,06:12:32,BusStop_15+
23.57934569028526,87.2915862704938,4.856414318084717,14.162373044082358,06:12:34,BusStop_15+
23.579302486970285,87.29159343298838,4.856414318084717,14.162373044082358,06:12:35,BusStop_15+
23.579261165277906,87.29158976899117,4.73321533203125,13.957459520176394,06:12:36,BusStop_15+
23.579215309609292,87.29159098176844,0.0,13.163569906060108,06:12:39,BusStop_15+
23.579098741994077,87.2916506792414,4.647993564605713,10.765085211116505,06:12:41,BusStop_15+
23.579031883749074,87.29167857541799,4.710870265960693,9.662462520789632,06:12:42
23.57898940204303,87.29170028557145,4.715559959411621,8.698429026717653,06:12:43
23.578930167092203,87.29180308861955,0.0,7.952749715096914,06:12:49
23.574144069644923,87.2957029473928,4.833989143371582,34.376033595413304,06:14:45
23.574144069644923,87.2957029473928,0.0,34.37744691045933,06:14:46,BusStop_17+
23.574144069644923,87.2957029473928,0.0,34.37430672423977,06:14:47,BusStop_17+
23.574144069644923,87.2957029473928,0.0,34.3643686735956,06:14:48,BusStop_17+
